Show,Season,Episode,Rating
Cheers,1,4,7.6
Cheers,1,5,7.9
Cheers,1,6,7.7
Cheers,1,7,7.3
Cheers,1,8,8
Cheers,1,9,7.6
Cheers,1,10,8.2
Cheers,1,11,7.7
Cheers,1,12,7.5
Cheers,1,13,7.3
Cheers,1,14,7.4
Cheers,1,15,7
Cheers,1,16,7.9
Cheers,1,17,8.1
Cheers,1,18,7.4
Cheers,1,19,8.5
Cheers,1,20,7.4
Cheers,1,21,7.7
Cheers,1,22,8.2
Cheers,2,1,7.7
Cheers,2,2,7.3
Cheers,2,3,7.4
Cheers,2,4,7.9
Cheers,2,5,7.6
Cheers,2,6,7.4
Cheers,2,7,7.5
Cheers,2,8,7.4
Cheers,2,9,7.4
Cheers,2,10,7.4
Cheers,2,11,7.5
Cheers,2,12,7.6
Cheers,2,13,7.6
Cheers,2,14,7.5
Cheers,2,15,7.6
Cheers,2,16,7.9
Cheers,2,17,7.5
Cheers,2,18,7.5
Cheers,2,19,7.5
Cheers,2,20,7.2
Cheers,2,21,7.4
Cheers,2,22,7.9
Cheers,3,1,7.9
Cheers,3,2,7.9
Cheers,3,3,8
Cheers,3,4,8.1
Cheers,3,5,7.5
Cheers,3,6,7.6
Cheers,3,7,7.4
Cheers,3,8,7.5
Cheers,3,9,7.1
Cheers,3,10,7.5
Cheers,3,11,7.4
Cheers,3,12,7.5
Cheers,3,13,7.5
Cheers,3,14,8.2
Cheers,3,15,7.3
Cheers,3,16,7.5
Cheers,3,17,7.8
Cheers,3,18,7.5
Cheers,3,19,7.7
Cheers,3,20,7.3
Cheers,3,21,7.9
Cheers,3,22,8.1
Cheers,3,23,8.1
Cheers,3,24,7.3
Cheers,3,25,7.8
Cheers,4,1,7.7
Cheers,4,2,7.4
Cheers,4,3,7.3
Cheers,4,4,7.3
Cheers,4,5,7.9
Cheers,4,6,7.8
Cheers,4,7,7.5
Cheers,4,8,7.3
Cheers,4,9,7.8
Cheers,4,10,7.3
Cheers,4,11,7.7
Cheers,4,12,7.7
Cheers,4,13,7.3
Cheers,4,14,8
Cheers,4,15,7.8
Cheers,4,16,7.7
Cheers,4,17,7.9
Cheers,4,18,7.5
Cheers,4,19,7.8
Cheers,4,20,7
Cheers,4,21,7.7
Cheers,4,22,7.8
Cheers,4,23,7.4
Cheers,4,24,7.8
Cheers,4,25,7.8
Cheers,4,26,7.9
Cheers,5,1,8
Cheers,5,2,7.4
Cheers,5,3,7.3
Cheers,5,4,8.6
Cheers,5,5,7.5
Cheers,5,6,7.6
Cheers,5,7,7.7
Cheers,5,8,7.5
Cheers,5,9,8.6
Cheers,5,10,8
Cheers,5,11,7.5
Cheers,5,12,7.5
Cheers,5,13,7.6
Cheers,5,14,7.5
Cheers,5,15,7.3
Cheers,5,16,7.4
Cheers,5,17,7.4
Cheers,5,18,7.9
Cheers,5,19,7.5
Cheers,5,20,8.8
Cheers,5,21,8.6
Cheers,5,22,7.4
Cheers,5,23,7.4
Cheers,5,24,7.8
Cheers,5,25,7.1
Cheers,5,26,8.5
Cheers,6,1,8
Cheers,6,2,7.5
Cheers,6,3,7.2
Cheers,6,4,7.1
Cheers,6,5,8.1
Cheers,6,6,7.8
Cheers,6,7,7.6
Cheers,6,8,8.3
Cheers,6,9,7.5
Cheers,6,10,7.7
Cheers,6,11,7.3
Cheers,6,12,7.7
Cheers,6,13,7.8
Cheers,6,14,8.1
Cheers,6,15,7.3
Cheers,6,16,7.5
Cheers,6,17,7.8
Cheers,6,18,7.7
Cheers,6,19,7.2
Cheers,6,20,7.5
Cheers,6,21,7.6
Cheers,6,22,7.2
Cheers,6,23,7.9
Cheers,6,24,8.2
Cheers,6,25,7.7
Cheers,7,1,7.6
Cheers,7,2,7.6
Cheers,7,3,7.3
Cheers,7,4,7.4
Cheers,7,5,7.2
Cheers,7,6,8.2
Cheers,7,7,8.1
Cheers,7,8,7.9
Cheers,7,9,7.8
Cheers,7,10,8.1
Cheers,7,11,7.5
Cheers,7,12,7.6
Cheers,7,13,8.1
Cheers,7,14,7.8
Cheers,7,15,7.6
Cheers,7,16,7.7
Cheers,7,17,7.3
Cheers,7,18,7.5
Cheers,7,19,7.8
Cheers,7,20,7.3
Cheers,7,21,8.2
Cheers,7,22,7.4
Cheers,8,1,7.8
Cheers,8,2,7.6
Cheers,8,3,7.5
Cheers,8,4,7.3
Cheers,8,5,7.7
Cheers,8,6,8.1
Cheers,8,7,7.6
Cheers,8,8,7.3
Cheers,8,9,7.6
Cheers,8,10,7.4
Cheers,8,11,7.5
Cheers,8,12,7.2
Cheers,8,13,7.1
Cheers,8,14,7.3
Cheers,8,15,7.8
Cheers,8,16,7.6
Cheers,8,17,7.5
Cheers,8,18,7.7
Cheers,8,19,8
Cheers,8,20,7.4
Cheers,8,21,7.7
Cheers,8,22,7.5
Cheers,8,23,7.2
Cheers,8,24,7.3
Cheers,8,25,7.5
Cheers,8,26,8
Cheers,9,1,7.4
Cheers,9,2,7.5
Cheers,9,3,7.9
Cheers,9,4,7.2
Cheers,9,5,7.4
Cheers,9,6,7.2
Cheers,9,7,7.7
Cheers,9,8,7.4
Cheers,9,9,7.9
Cheers,9,10,8.1
Cheers,9,11,7.7
Cheers,9,12,7.7
Cheers,9,13,6.9
Cheers,9,14,7.5
Cheers,9,15,8
Cheers,9,16,7.6
Cheers,9,17,7.8
Cheers,9,18,7.4
Cheers,9,19,7.2
Cheers,9,20,7.6
Cheers,9,21,7.3
Cheers,9,22,7.7
Cheers,9,23,7.3
Cheers,9,24,7.7
Cheers,9,25,7.5
Cheers,9,26,7.5
Cheers,10,1,7.2
Cheers,10,2,7.7
Cheers,10,3,6.6
Cheers,10,4,7.8
Cheers,10,5,7.3
Cheers,10,6,7.5
Cheers,10,7,8.1
Cheers,10,8,7.7
Cheers,10,9,7.3
Cheers,10,10,7.3
Cheers,10,11,7.7
Cheers,10,12,7.2
Cheers,10,13,7.4
Cheers,10,14,7.8
Cheers,10,15,7.3
Cheers,10,16,8.5
Cheers,10,17,7.3
Cheers,10,18,7.7
Cheers,10,19,7.5
Cheers,10,20,7.8
Cheers,10,21,7.2
Cheers,10,22,7.4
Cheers,10,23,8.2
Cheers,10,24,8.1
Cheers,10,25,8.6
Cheers,11,1,7.9
Cheers,11,2,7.8
Cheers,11,3,7.6
